bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",661,0.08813142410219227,0.03177004538577912,-0.05636137871641315,norm,15+,RB
"[0.1,0.2)",3544,0.14763299962837398,0.12358916478555304,-0.024043834842820938,norm,15+,RB
"[0.2,0.3)",2489,0.24624695118489529,0.24347127360385698,-0.002775677581038305,norm,15+,RB
"[0.3,0.4)",1689,0.34834670551841906,0.3256364712847839,-0.022710234233635163,norm,15+,RB
"[0.4,0.5)",1878,0.448194317704863,0.4339723109691161,-0.014222006735746917,norm,15+,RB
"[0.5,0.6)",898,0.5419040115603243,0.5011135857461024,-0.040790425814221876,norm,15+,RB
"[0.6,0.7)",374,0.6437855868880544,0.5882352941176471,-0.05555029277040735,norm,15+,RB
"[0.7,0.8)",84,0.7370548815373831,0.6547619047619048,-0.08229297677547831,norm,15+,RB
"[0.8,0.9)",4,0.848435850633486,1,0.15156414936651397,norm,15+,RB
"[0,0.1)",567,0.0889021164021164,0.037037037037037035,-0.051865079365079364,sim,15+,RB
"[0.1,0.2)",3574,0.14768536653609401,0.12143256855064354,-0.02625279798545048,sim,15+,RB
"[0.2,0.3)",2598,0.2461460739030023,0.24018475750577367,-0.005961316397228633,sim,15+,RB
"[0.3,0.4)",1811,0.3496305908337935,0.32578685808945335,-0.02384373274434015,sim,15+,RB
"[0.4,0.5)",1883,0.4463207647371216,0.43706850770047795,-0.009252257036643674,sim,15+,RB
"[0.5,0.6)",824,0.5411092233009709,0.5412621359223301,1.5291262135919137e-4,sim,15+,RB
"[0.6,0.7)",310,0.6409774193548388,0.5967741935483871,-0.04420322580645164,sim,15+,RB
"[0.7,0.8)",50,0.7285,0.64,-0.08850000000000002,sim,15+,RB
"[0.8,0.9)",4,0.828625,1,0.17137500000000006,sim,15+,RB
"[0,0.1)",6609,0.04578761222886759,0.057497352095627174,0.011709739866759585,norm,20+,RB
"[0.1,0.2)",2763,0.14764568507029596,0.18096272167933405,0.03331703660903809,norm,20+,RB
