fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.02,50,42,0.6057
2,7,0.05,20,10,0.6454
3,7,0.02,100,1,0.9175
4,7,0.05,10,51,0.8058
5,7,0.05,100,70,0.6565
6,7,0.05,20,13,0.7349
7,15,0.05,20,21,0.7813
8,7,0.05,20,34,0.7962
9,7,0.05,50,44,0.6992
10,31,0.05,10,15,0.682
11,7,0.05,100,50,0.643
12,15,0.05,20,2,0.7728
13,7,0.05,10,9,0.6933
14,7,0.02,20,10,0.7544
15,7,0.05,100,10,0.7144
16,7,0.02,100,15,0.7096
17,7,0.05,100,4,0.7577
18,15,0.05,10,8,0.7815
19,15,0.05,10,1,0.7312
20,7,0.05,10,14,0.7233
21,7,0.05,10,14,0.7013
22,15,0.05,20,6,0.6844
23,31,0.05,10,21,0.6444
24,31,0.05,10,30,0.6993
25,63,0.05,10,15,0.6734
26,7,0.05,100,45,0.6577
27,7,0.05,100,57,0.6903
28,7,0.02,100,74,0.7806
29,7,0.05,100,4,0.7658
30,7,0.05,100,5,0.7345
31,7,0.05,100,5,0.7132
32,15,0.02,20,47,0.7151
33,15,0.05,20,10,0.7085
34,63,0.02,10,25,0.6839
35,15,0.05,20,20,0.584
36,15,0.05,20,24,0.5904
37,15,0.02,100,64,0.6039
38,7,0.02,50,11,0.5939
39,7,0.05,100,23,0.5995
40,31,0.02,20,24,0.6145
41,31,0.02,20,25,0.6171
42,63,0.05,20,8,0.634
43,63,0.05,20,10,0.6624
44,31,0.05,50,23,0.6647
45,15,0.05,50,8,0.6724
46,15,0.05,50,6,0.659
47,31,0.05,20,11,0.6586
48,31,0.05,50,24,0.6815
49,63,0.05,20,7,0.6862
50,31,0.05,50,5,0.6924
51,15,0.05,100,4,0.701
52,7,0.02,50,14,0.7172
53,7,0.05,10,3,0.7182
54,63,0.05,20,4,0.7012
55,7,0.05,100,3,0.6909
56,7,0.05,100,3,0.6887
57,7,0.05,100,24,0.7147
58,7,0.05,20,20,0.7292
59,15,0.05,50,47,0.7235
60,15,0.05,50,22,0.7152
61,15,0.05,50,21,0.7215
62,7,0.05,10,20,0.7289
63,15,0.05,50,20,0.7155
64,15,0.02,100,59,0.71
65,63,0.05,20,12,0.7062
66,7,0.02,50,150,0.7054
67,15,0.05,100,25,0.715
68,7,0.05,20,60,0.7186
69,7,0.05,20,29,0.7251
70,7,0.05,100,61,0.7361
71,7,0.05,100,61,0.7498
72,7,0.05,20,40,0.7452
73,15,0.05,20,36,0.7498
74,15,0.05,20,25,0.7521
75,63,0.05,10,20,0.7588
76,63,0.05,10,20,0.7595
77,7,0.02,20,90,0.7497
78,7,0.05,10,35,0.7482
79,7,0.05,20,59,0.7457
80,31,0.05,10,6,0.758
81,31,0.05,10,5,0.7597
82,15,0.02,10,44,0.7492
83,31,0.02,10,30,0.7424
84,15,0.02,100,75,0.7428
85,7,0.05,20,41,0.7582
86,7,0.05,20,41,0.7552
87,7,0.02,50,80,0.7602
88,15,0.05,50,19,0.7607
89,7,0.05,50,35,0.7499
90,31,0.05,10,20,0.7403
91,7,0.05,10,34,0.738
92,7,0.02,10,51,0.7345
93,63,0.05,20,5,0.7238
94,7,0.05,10,16,0.7191
95,15,0.05,10,13,0.7291
96,7,0.02,10,76,0.7314
97,63,0.05,10,5,0.722
98,15,0.02,10,47,0.7206
99,15,0.02,10,53,0.7308
100,15,0.05,20,14,0.7198
101,7,0.02,50,91,0.7184
102,7,0.05,10,59,0.7191
